code,total_qty,avg_rate,num_orders
500001,1032,1295.017543859649,57
10016728,24,875.0,6
10019275,56,1650.0,13
10021130,32,875.0,7
10021131,28,875.0,6
10022091,84,1250.0,19
10022578,60,1195.0,13
10025103,60,1195.0,14
10025105,47,650.0,11
10025542,71,1170.25,20
10025820,28,1595.0,7
10025821,52,1595.0,10
10026674,36,875.0,5
10027276,12,525.0,3
10027278,32,550.0,4
10027279,52,550.0,9
10027280,35,550.0,5
10027281,52,550.0,10
10027298,68,1150.0,16
10027299,64,1150.0,15
10027514,4,950.0,1
10027542,24,875.0,6
10027574,40,995.0,9
10027576,40,995.0,9
10027612,24,995.0,6
10027632,12,750.0,4
10027634,6,750.0,2
10027635,6,750.0,2
10027684,28,550.0,5
10027703,4,750.0,1
10027734,54,975.0,15
10027735,57,975.0,16
10027736,8,925.0,2
10027757,12,1150.0,3
10027760,31,995.0,8
10027761,44,995.0,10
10027806,20,625.0,5
10027896,28,550.0,6
10027912,28,625.0,7
10028003,9,1425.0,2
10028093,24,925.0,6
10028130,50,850.0,6
10028196,11,750.0,3
10028197,15,750.0,4
10028231,20,995.0,3
10028257,16,775.0,4
10028268,110,335.0,24
10028269,72,335.0,8
10028447,12,1325.0,3
10028448,44,775.0,9
10028449,52,775.0,12
10028518,24,795.0,6
10028520,16,795.0,4
10028568,19,925.0,5
10028569,11,925.0,3
10028629,4,875.0,1
10028630,12,875.0,3
10028636,8,875.0,2
10028637,16,875.0,4
10028638,12,875.0,3
10028639,12,875.0,3
10028641,12,875.0,3
10028753,12,550.0,3
10028754,16,550.0,5
10028755,21,550.0,5
10028757,12,550.0,3
10028758,32,550.0,7
10028794,36,1095.0,9
10028810,8,875.0,2
10028818,16,795.0,3
10028831,12,875.0,3
10028845,15,1025.0,5
10028892,24,1075.0,6
10028959,3,1095.0,1
10028960,15,1095.0,5
10028961,6,1095.0,2
10028978,8,1025.0,2
10029028,20,1250.0,5
10029029,12,1250.0,3
10029034,8,850.0,2
10029035,12,850.0,3
10029036,20,850.0,5
10029107,4,775.0,1
10029110,20,995.0,4
10029120,4,1195.0,1
10029122,4,995.0,1
10029123,4,995.0,1
10029125,12,875.0,2
10029126,12,875.0,2
10029128,15,995.0,3
10029129,20,1150.0,3
10029131,20,775.0,5
10029142,4,850.0,1
10029215,12,650.0,2
10029228,20,750.0,4
10029229,13,750.0,3
10029230,4,750.0,1
10029231,8,750.0,2
10029232,8,750.0,2
10029234,20,875.0,5
10029240,8,950.0,2
10029241,8,950.0,2
10029242,12,695.0,2
10029244,4,695.0,1
10029262,12,995.0,3
10029263,12,995.0,3
10029270,15,575.0,3
10029271,15,575.0,2
10029272,10,575.0,1
10029273,10,575.0,2
10029274,16,625.0,2
10029301,20,895.0,4
10029305,8,725.0,1
10029306,8,725.0,1
10029326,8,1025.0,2
10029327,4,1025.0,1
10029328,36,875.0,5
10029329,40,875.0,6
10029330,36,875.0,4
10029331,4,950.0,1
10029342,10,1075.0,2
10029345,10,795.0,2
10029346,5,795.0,1
10029350,5,1125.0,1
10029351,5,1125.0,1
10029353,8,1125.0,2
10029354,4,1250.0,1
10029355,4,1250.0,1
10029365,25,895.0,5
10029367,12,1125.0,3
10029369,4,1075.0,1
10029370,12,1125.0,3
10029409,16,850.0,3
10029410,16,850.0,3
10029411,8,950.0,2
10029416,12,995.0,2
10029417,8,995.0,1
10029418,12,995.0,2
10029433,4,825.0,1
10029440,10,1125.0,1
10029441,10,1125.0,1
10029443,15,995.0,2
10029444,15,995.0,2
10029447,4,850.0,1
10029448,4,850.0,1
10029463,4,695.0,1
